Ticker,entry_date,entry_price,leverage,alloc,peak_price
^BSESN,2026-01-30 09:45,82269.78,3,1000000.0,85816.86
^J203.JO,2026-02-05 14:00,118947.4,4,1000000.0,126477.6
^STOXX50E,2026-03-06 16:00,5706.42,4,1000000.0,6196.81
^FCHI,2026-03-06 16:00,7974.34,4,1000000.0,8637.18
^AXJO,2026-03-12 05:00,8629.0,4,1000000.0,9200.9
XU100.IS,2026-03-12 14:30,13291.39,4,1000000.0,15115.349609375
^GSPTSE,2026-03-12 19:30,32834.4,3,1000000.0,34692.12890625
^MXX,2026-03-13 19:30,65685.77,3,1000000.0,72019.43
^GDAXI,2026-03-13 16:00,23436.01,4,1000000.0,25370.85
^AEX,2026-04-07 15:00,970.63,4,1000000.0,1045.02001953125
^FTSE,2026-04-10 15:00,10596.26,3,1000000.0,10910.0
